E̩n-pakketzendingen;;;;;;;;;;;;
zone;1;2;3;4;5;51;6;61;7;704;706;8
EUR;;;;;;;;;;;;
Gewicht;;;;;;;;;;;;
1 kg;11,60;20,45;29,05;45,80;72,10;79,20;94,10;99,95;125,70;69,65;117,95;124,55
2 kg;12,40;21,35;29,95;49,00;76,10;83,60;98,50;107,45;139,60;72,85;122,35;138,75
3 kg;13,55;22,35;31,10;52,15;80,05;87,90;103,10;114,95;153,25;76,00;126,95;154,90
4 kg;14,35;23,15;32,00;55,35;83,85;92,10;107,35;122,60;167,00;79,20;131,20;168,50
5 kg;15,50;24,25;33,15;58,40;87,75;96,55;111,90;130,15;180,65;82,25;135,75;182,55
6 kg;16,35;24,90;34,20;60,45;91,60;100,75;116,60;136,35;194,35;84,30;140,45;195,50
7 kg;17,30;25,50;35,10;62,55;95,70;105,10;121,50;142,45;208,15;86,40;145,35;206,15
8 kg;18,25;26,30;36,15;64,55;99,55;109,50;126,20;148,35;221,85;88,40;150,05;219,85
9 kg;19,40;26,80;37,15;66,45;103,45;113,70;131,05;154,75;235,60;90,30;154,90;233,40
10 kg;20,05;27,65;38,25;68,50;107,35;118,25;135,90;160,90;239,75;92,35;159,70;237,55
12 kg;21,10;28,20;40,15;71,25;111,30;123,40;142,90;169,65;257,35;95,10;166,75;254,95
14 kg;21,70;28,95;42,15;74,10;115,40;128,75;150,15;178,35;265,60;97,95;174,00;263,15
16 kg;22,60;29,70;43,95;76,65;119,30;134,00;157,20;187,10;271,65;100,50;181,05;269,20
18 kg;23,50;30,20;46,00;79,45;123,25;139,40;164,45;195,75;281,70;103,30;188,30;284,70
20 kg;24,40;31,05;47,85;82,10;127,10;144,80;171,45;204,55;290,15;105,95;195,30;293,05
22 kg;24,85;36,60;54,35;89,70;138,15;155,80;181,55;213,40;298,55;113,55;205,40;301,50
24 kg;25,00;42,30;60,90;97,20;149,35;166,60;191,40;222,00;306,55;121,05;215,25;309,85
26 kg;25,25;47,80;67,20;104,75;160,40;177,15;201,35;230,85;314,80;128,60;225,20;318,10
28 kg;25,50;53,40;73,60;112,35;171,40;187,95;211,25;239,50;323,00;136,20;235,10;326,25
30 kg;25,80;59,05;80,15;119,95;182,55;198,70;221,10;248,35;331,10;143,80;244,95;334,65
32 kg;27,25;64,60;85,50;127,35;193,00;209,45;233,50;260,60;339,35;151,20;257,35;342,85
34 kg;28,55;70,05;90,95;134,80;203,30;220,25;245,95;273,15;347,50;158,65;269,80;351,15
36 kg;29,90;75,90;96,45;142,45;213,75;230,95;258,40;285,50;367,90;166,30;282,25;370,50
38 kg;31,30;81,35;101,95;150,00;224,15;241,80;270,90;297,85;384,65;173,85;294,75;385,65
40 kg;32,65;87,00;107,20;157,50;234,40;252,45;283,45;310,30;392,30;181,35;307,30;388,70
42 kg;36,30;92,55;112,80;165,15;244,85;264,45;297,55;322,75;400,15;189,00;321,40;404,30
44 kg;40,00;98,05;118,20;172,65;255,15;276,55;311,65;335,00;407,70;196,50;335,50;411,95
46 kg;43,70;103,70;123,50;180,25;265,60;288,45;325,85;347,60;415,55;204,10;349,70;419,85
48 kg;47,40;109,25;128,95;187,70;276,10;300,30;340,00;360,10;423,20;211,55;363,85;427,60
50 kg;50,95;114,85;134,25;195,35;286,30;312,50;354,05;372,40;431,00;219,20;377,90;435,50
55 kg;54,60;122,35;148,55;212,90;307,75;339,60;394,85;403,65;445,90;236,75;418,70;450,45
60 kg;61,80;129,90;162,75;230,50;329,25;366,75;435,45;439,70;460,90;254,35;459,30;465,55
65 kg;69,00;137,35;176,85;247,75;350,55;393,85;476,25;480,85;480,50;271,60;500,10;480,75
70 kg;76,15;144,65;191,05;265,45;372,00;421,30;517,10;522,20;521,75;289,30;540,95;516,80