Land / Territorium;Landcode;Landcode;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones
Land;ISO-Code;Add;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday
Tadzjikistan;TJ;+;;;10;;5;;;;;;;;;
Tahiti (Frans Polynesië);PF;;;10;10;;5;;;10;10;10;;;;
Taiwan;TW;+;;9;9;;4;9;9;10;10;10;;5;10;10
Tanzania;TZ;;;;11;;6;;;10;10;10;;;;
Thailand;TH;+;9;9;9;;4;9;9;9;9;9;;4;9;9
"Tinian (Noordelijke MarianenEilanden)";MP;+;;;10;;5;;;10;10;10;;;;
Togo;TG;;;;11;;6;;;10;10;10;;;;
Tonga;TO;;;;10;;5;;;;;;;;;
Tortola (Britse Maagdeneilanden);VG;;;;10;;5;;;9;9;9;;;;
Trinidad en Tobago;TT;+;;10;10;;5;;;9;9;9;;;;
Truk (Micronesia, Federale Staten van);FM;;;;10;;5;;;;;;;;;
Tsjaad;TD;;;;11;;6;;;10;10;10;;;;
Tsjechië;CZ;+;51;51;51;51;;51;51;51;51;51;41;;51;51
Tunesië;TN;;;11;11;;6;11;;10;10;10;;;10;10
Turkije;TR;;6;6;6;;1;6;6;7;7;7;;2;7;7
Turkmenistan;TM;;;;;;5;;;;;10;;;;
Turks- en Caicoseilanden;TC;;;;10;;5;;;9;9;9;;;;
Tuvalu;TV;;;;10;;5;;;;;;;;;
"Union-eiland (St. Vincent en deGrenadines)";VC;;;;10;;5;;;9;9;9;;;;
Uruguay;UY;;;;10;;5;;;10;10;10;;;;
Vanuatu;VU;;;10;10;;5;;;;;;;;;
Venezuela;VE;+;;;10;;5;;;10;10;10;;5;;
Verenigd Koninkrijk;GB;+;;;;;;;;;;;;;;
- Engeland;GB;+;703;703;703;704;;3;3;783;753;753;754;;3;3
- Noord-Ierland;GB;;;;5;6;;5;5;3;3;3;4;;3;3
- Schotland;GB;+;;703;703;704;;3;3;783;753;753;754;;3;3
- Wales;GB;;;703;703;704;;3;3;783;753;753;754;;3;3
Verenigde Arabische Emiraten;AE;;9;9;9;;4;9;9;9;9;9;;4;9;9
Verenigde Staten;US;+;8;8;8;;2;8;8;8;8;8;;3;8;8
Vietnam;VN;+;9;9;9;;4;9;;10;10;10;;5;10;10
"Virgin Gorda (BritseMaagdeneilanden)";VG;;;;10;;5;;;9;9;9;;;;
Wales;GB;;;703;703;704;;3;3;783;753;753;754;;3;3
Wallis en Futuna Eilanden;WF;;;10;10;;5;;;;;;;;;
Westelijke Jordaanoever / Gaza;PS;;;;9;;4;9;;9;9;9;;4;9;9
Yap (Micronesia, Federale Staten van);FM;;;;10;;5;;;;;;;;;
Zambia;ZM;;;;11;;6;;;10;10;10;;;;
Zimbabwe;ZW;;;;11;;6;;;10;10;10;;;;
Zuid-Afrika;ZA;+;10;10;10;;5;10;;10;10;10;;5;10;10
Zweden;SE;+;5;5;5;6;;5;5;5;5;5;4;;5;5
Zwitserland;CH;+;61;61;61;7;;61;61;6;6;6;5;6;6;